user,rating,review,date,clean_review
Ari Handoko,4,Alhamdulillah Admin membantu terima kasih.,2026-02-28 11:43:23,alhamdulillah admin bantu terima kasih
Lucky 11,2,"udah 5x hapus donlot ulang, ga bs dipakai, eror trs, kukut ae",2026-02-28 11:42:19,udah x hapus donlot ulang ga bs pakai eror trs kukut ae
Anis Wulandari,5,mantaapp sekali,2026-02-28 11:27:37,mantaapp sekali
DADDY AL-FATIH,5,baik dan lancar,2026-02-28 11:25:39,baik lancar
Jaya Arya Mukti,5,ok,2026-02-28 11:20:58,
Hasim asarie,5,bagus semoga bisa amanah dan tanggung jawab,2026-02-28 11:17:20,bagus moga amanah tanggung jawab
akhmad madu,5,good,2026-02-28 11:14:57,good
andri 01,4,"mempermudah dalam bertrangsaksi minusnya aplikasi sering ada masalah terpaksa d hapus, donload lagi",2026-02-28 11:14:04,mudah bertrangsaksi minus aplikasi sering masalah paksa d hapus donload
Jusin Surilusna,5,sangat baik,2026-02-28 11:13:58,sangat baik
adih 123,5,Selama Ini Sy Cukup puas,2026-02-28 11:11:35,lama sy cukup puas
Fiki Sifa,5,bagus,2026-02-28 11:07:18,bagus
Krisna Wijaya,1,"aplikasi tidak stabil setiap kali buka blank putih dan harus hapus data buat login mulai awal, sangat menyusahka.",2026-02-28 11:05:23,aplikasi stabil kali buka blank putih harus hapus data buat login mulai awal sangat menyusahka
Lisna Wati,4,"Alhamdulillah, kemaren sempat keblokir karena nomor hp hilang,setelah di urus semua kembali lancar,BRImo masih pilihan utama",2026-02-28 11:04:37,alhamdulillah kemaren sempat blokir nomor hp hilangsetelah urus semua lancarbrimo pilih utama
kevnxg,1,SUMPAH BISA GAK LOGIN TUH GAK USAH DIPERSULIT TERUS!!!!!!!,2026-02-28 11:01:57,sumpah gak login tuh gak usah sulit terus
Suci Lestari,5,mudah dan mantap,2026-02-28 10:59:17,mudah mantap
Tri Setia,5,Terbaik,2026-02-28 10:57:43,baik
Lusi Sumardan,1,brimo sekarang tiap log in harus verifikasi terus.,2026-02-28 10:54:35,brimo sekarang tiap log in verifikasi terus
Devid Ryon,5,"bagus, ada harapan baru",2026-02-28 10:50:51,bagus harap baru
Dini Rahmawati,5,sangat bagus,2026-02-28 10:48:07,sangat bagus
Satya Magala,5,Mantab applikasinya,2026-02-28 10:47:20,mantab applikasinya
Chivalry,1,aplikasi jembut,2026-02-28 10:45:16,aplikasi jembut
Hamidah Gultom,5,"Masjid tabarakallah, Bank yang sangat baik",2026-02-28 10:45:15,masjid tabarakallah bank sangat baik
Saisa Delima,3,Apk blank putih,2026-02-28 10:43:33,apk blank putih
Slamet Widodo,5,bagus sangat membantu,2026-02-28 10:41:28,bagus sangat bantu
Hoerul Anwar,1,jujur kecewa samaa BRI keenappa setiap terangsaksi gakk bissa ke dana muncul mut# Mulu capekk deh di login nin gakk masuk masuk hapus aplikasi dah jaagann pake bri,2026-02-28 10:39:52,jujur kecewa samaa bri keenappa terangsaksi gakk bissa dana muncul mut mulu capekk deh login nin gakk masuk masuk hapus aplikasi dah jaagann pake bri
Erni Tea,5,mantab👍👍👍,2026-02-28 10:37:19,mantab
Kisworo,5,transaksi jadi lebih mudah,2026-02-28 10:35:57,transaksi jadi lebih mudah
Khen,5,ok,2026-02-28 10:33:14,
Asep Supriatna,5,sangat memuaskan,2026-02-28 10:28:51,sangat muas
bang eugene,1,capek banget harus setiap hari login ulang dan verifikasi ulang terus 👎👎👎,2026-02-28 10:26:38,capek banget tiap hari login ulang verifikasi ulang terus
Gacul 13,1,Gak Bisa Ganti Kartu HP,2026-02-28 10:24:22,gak ganti kartu hp
Endang Sundari,5,lebih mudah cepat tidak pakai antri 👍,2026-02-28 10:22:27,lebih mudah cepat pakai antri
Lasrita Efriyanti,5,"hallo KK aplikasi brimo ni bagus sgt membantu sekali tapi sgt di syg kan kenapa skrg tidak bisa dibuka,saat mau masuk biru tiba2 lgsung keluar layar putih.padahal sudah mode pesawat dan hapus chace sm juga",2026-02-28 10:19:26,hallo kk aplikasi brimo ni bagus sgt bantu sekali sgt syg kan skrg bisa dibukasaat mau masuk biru tiba lgsung keluar layar putihpadahal mode pesawat hapus chace sm
neha 14,5,keren,2026-02-28 10:15:07,keren
alvian samani,1,setelah di update..tidak bisa lagi untuk login,2026-02-28 10:14:22,di updatetidak lagi login
Nico Aryasaga,4,mantap jiwa,2026-02-28 10:13:22,mantap jiwa
SUGENG RIYADI,1,"verifikasi wajah gagal terus,padahal semua data sesuai KTP, kamera bagus,sinyal bagus, pencahayaan bagus,foto jelas.tapi masih aja gagal terus.ribet banget nih apk.cuman kyc aja kok susah banget",2026-02-28 10:13:04,verifikasi wajah gagal teruspadahal semua data sesuai ktp kamera bagussinyal bagus cahaya bagusfoto jelastapi aja gagal terusribet banget nih apkcuman kyc aja kok susah banget
Asri Joni,5,sangat mudah di gunakan dan sangat simpel.. sangat membantu sekali serta hemat waktu dalam bertransaksi,2026-02-28 10:12:56,sangat mudah guna sangat simpel sangat bantu sekali hemat waktu transaksi
Larasati Dwi,5,"kenapa sih sekarang ceria gak ada fitur tarik tunainya, dan tenornya cuman 6 bulan, please balikin kaya semula aja, ada tarik tunai dan tenornya sampai 12 bulan, karena itu benar-benar membantu nasabah. Mohon dipertimbangkan",2026-02-28 10:12:42,sih sekarang ceria gak fitur tarik tunai tenor cuman bulan please balikin kaya mula aja tarik tunai tenor bulan itu benarbenar bantu nasabah mohon timbang
Oplos Oyag A Team,5,"jangan neko neko, hati hati",2026-02-28 10:12:20,jangan neko neko hati hati
Zaenal Mutaqin,1,bank taiii..BRI taii.. kirim uang dari hari Jumat jam 11 siang sampai 3 hari.. dasar bank taiii Persero taii .. program kaya taii ..,2026-02-28 10:12:18,bank taiiibri taii kirim uang hari jumat jam siang hari dasar bank taiii persero taii program kaya taii
Muhammad Azmi,1,"taee gajelas banget nih, masa tiap mau login harus verifikasi KTP sama foto wajah mulu, mana satu hari cuma bisa maksimal 3x",2026-02-28 10:10:37,taee gajelas banget nih masa tiap mau login verifikasi ktp sama foto wajah mulu mana satu hari cuma maksimal x
daffin Cool,5,mudah cepat dan praktis,2026-02-28 10:06:22,mudah cepat praktis
Arin Annur,4,"min tolong, bank sampoerna hilang dr daftar bank penerima transfer, tolong di update kembali",2026-02-28 10:05:41,min bank sampoerna hilang dr daftar bank terima transfer di update
Khaila Putri,5,bgs sekali,2026-02-28 10:04:16,bgs sekali
Anis Yesriyani Anis,5,aplikasi yang sangat bermanfaat,2026-02-28 10:03:38,aplikasi sangat manfaat
SAHER CHANNEL,5,ok,2026-02-28 10:03:02,
April Mbau,3,login sering tidak bisa,2026-02-28 10:01:35,login sering bisa
Sarah Sacadipura,5,ok,2026-02-28 10:00:44,
Lunaf Padang,5,Brimo ok,2026-02-28 09:59:28,brimo
Mido Smith,5,bintang berbicara,2026-02-28 09:56:20,bintang bicara
Adhly Vixion,5,mantap,2026-02-28 09:56:07,mantap
Kaka Paloh85,5,"sangat membantu saya dalam melakukan transaksi dalam waktu tercepat,tapi dalam waktu dekat ini kenappa brimo tak dapat login??",2026-02-28 09:53:26,sangat bantu laku transaksi waktu tercepattapi dalam waktu dekat kenappa brimo tak login
Madam Putra,5,mantap,2026-02-28 09:53:26,mantap
Abang Aso,5,bagus banget,2026-02-28 09:48:34,bagus banget
tongga masbro,2,sering kali layar putih begitu mau masuk aplikasi brimo....kejadian mulai des kemarin sampai sekarang petugas cs sampai mengeluh gangguan sama,2026-02-28 09:45:40,sering kali layar putih mau masuk aplikasi brimokejadian mulai des kemarin sekarang tugas cs keluh ganggu sama
Zam Zam,4,cukup memuwas kan,2026-02-28 09:44:28,cukup memuwas kan
Dede Rumansyah,5,aplikasinya bagus banget lancar dan sangat memuaskan,2026-02-28 09:42:17,aplikasi bagus banget lancar sangat muas
Akhamd Tirta,1,"masa udah aktivasi login,pake KTP ,vekmuk terus pas udah logout disuruh aktivasi lagi,buang waktu mana kadang gangguan,",2026-02-28 09:41:55,masa udah aktivasi loginpake ktp vekmuk terus pas udah logout suruh aktivasi lagibuang waktu mana kadang ganggu
yune irmayani,5,mudah dan praktis.....,2026-02-28 09:16:03,mudah praktis
Una Maryana,5,baru pertama bagus se x mempermudah smua nya,2026-02-28 08:59:59,baru pertama bagus se x mudah smua nya
Muzi Man,4,"masukan nominal 50.000 di daftar penarikan tunai, supaya memudahkan bagi nasabah yang ingin menarik pecahan 50.000. trimakasih",2026-02-28 08:59:35,masuk nominal daftar tari tunai mudah nasabah ingin tarik pecah trimakasih
iswatun azam,5,Nyaman dipakai untuk bayar²,2026-02-28 08:54:34,nyaman pakai bayar
Zakaria Ritonga,5,saya sangat Suka dengan Aplikasinya sangat Membantu dan Mudah untuk transaksi apa pun.,2026-02-28 08:53:30,sangat suka aplikasi sangat bantu mudah transaksi apa
Saepul Hamami,5,okkemm,2026-02-28 08:51:00,okkemm
Herman Belink,5,Baik,2026-02-28 08:50:23,baik
TRISNO UTOMO,1,"selalu gagal dalam verifikasi wajah. beda banget sama bank² lain. udh dicoba ratusan kali tetep gagal terus. udh hubungi call center via tlpn, email, dan sudah dateng ke cs langsung di bank tetep belum berhasil. tolong dong klo buat aplikasi itu yg mempermudah usernya. kalo tdk buat payroll saya gk mau pakai BRI",2026-02-28 08:46:48,selalu gagal verifikasi wajah beda banget sama bank udh coba ratus kali tetep gagal terus udh hubung call center via tlpn email sudah dateng cs langsung bank tetep hasil dong klo buat aplikasi yg mudah usernya kalo tdk buat payroll gk mau pakai bri
Solo Naswa,5,amanah,2026-02-28 08:43:49,amanah
Oppo,1,halo kak.saya sudah ada ATM .mau daftar brimo GK tau caranya,2026-02-28 08:43:22,halo kaksaya ada atm mau daftar brimo gk tau cara
Nila Natalia,5,Ok,2026-02-28 08:43:05,
JSR Titipan illahi,1,"tidak bisa masuk verifikasi KTP gagal padahal dulu daftar nya aman,, saja tidak ada solusi",2026-02-28 08:37:31,bisa masuk verifikasi ktp gagal padahal dulu daftar nya aman tidak solusi
Marlina Ocha,5,"jadi lebih gampang untuk Bertransaksi, happy",2026-02-28 08:37:22,jadi lebih gampang transaksi happy
Hamdani Doel,5,"baru kali ini saya menggunakan aplikasi brimo,jadi mudah berbisnis.",2026-02-28 08:31:22,baru kali saya guna aplikasi brimojadi mudah bisnis
Muhammad Alfian,5,manyap,2026-02-28 08:20:33,manyap
Eko Maria,4,kenapa gak aktif padahal uda aku isi saldo tetep gak bisa,2026-02-28 08:20:05,gak aktif padahal uda aku isi saldo tetep gak
hairunisa Spt,5,kenapa yaa brimo aku nggk bisa login,2026-02-28 08:19:53,yaa brimo aku nggk login
Trk Nirmala89,5,"semoga bisa lebih baik kedepannya,dan keamanan ttp dipercaya",2026-02-28 08:16:38,moga lebih baik kedepannyadan aman ttp percaya
Hamb Phamb,5,Alhamdulillah Brimo ku lancar.,2026-02-28 08:16:29,alhamdulillah brimo ku lancar
Amluna Maulana,5,sangat bermemfaat dn membantu proses transaksi👍,2026-02-28 08:16:12,sangat bermemfaat dn bantu proses transaksi
Roha Yati,5,oke,2026-02-28 08:14:40,oke
Muhammad Rasyidi,5,sangat membantu,2026-02-28 08:08:52,sangat bantu
Ahmad cahyono cahyono,5,"Brimo saya sering eror gak bisa login,mau login tiba2 keluar warna layar putih dan gak bisa,ini sudah ke empat kalinya,",2026-02-28 08:07:29,brimo sering eror gak loginmau login tiba keluar warna layar putih gak bisaini ke empat kali
Husman M 92,5,mantap👍👍,2026-02-28 08:00:52,mantap
Dwi satrio Widodo,5,sangat bagus,2026-02-28 08:00:50,sangat bagus
Nyoman Wijaya,5,memudahkan dibandingkan bikin kartu atm di cabang sering dibilang full,2026-02-28 07:57:48,mudah banding bikin kartu atm cabang sering bilang full
ilyas Gilang,5,mantap,2026-02-28 07:53:12,mantap
Stella Lewu,5,sangat bagus,2026-02-28 07:52:49,sangat bagus
Antonia Wati Werang,4,sangat membantu,2026-02-28 07:44:45,sangat bantu
M ichsan Ichsan,5,mantaap,2026-02-28 07:40:23,mantaap
Agus Sugianto,5,membuat aktivitas bayar dan di bayar lebih mudah,2026-02-28 07:34:29,buat aktivitas bayar di bayar lebih mudah
Andi irawan,5,"sang at membantu, terima Kasih.",2026-02-28 07:29:42,sang at bantu terima kasih
Ristan Tiktok,5,baguss,2026-02-28 07:24:37,baguss
Dana Krisnanta,5,aplikasi bagus. mempermudah proses transaksi kapanpun dan di manapun.,2026-02-28 07:18:47,aplikasi bagus mudah proses transaksi kapan di mana
Prasetiya Adi,3,"sangat membantu sebenarnya..tetapi terkadang aplikasinya tidak bisa dibuka..harus download ulang,foto ktp lagi..baru bisa dipakai..terus""an kaya gini, m-bangking lainnya gak kek gini",2026-02-28 07:17:38,sangat bantu sebenarnyatetapi terkadang aplikasi dibukaharus download ulangfoto ktp lagibaru bisa dipakaiterusan kaya gin mbangking lain gak kek gin
avgini kampong,5,Mantap 👍👍,2026-02-28 07:05:20,mantap
Eko Laxono,5,Bagus dan transaksi cukup lengkap sehingga lebih mudah kita lakukan apa saja,2026-02-28 06:54:04,bagus transaksi cukup lengkap lebih mudah laku apa
Zilong No1indonesia,5,sidik jarinya macet terus capek tapi itu aja yang lain oky bagus gak mengecewakan,2026-02-28 06:50:06,sidik jari macet terus capek itu aja lain oky bagus gak kecewa
Muhammad yusuf,1,Asalamualaikum wr WB kok di halaman login nya ga da tulisan ga nti akun,2026-02-28 06:44:50,asalamualaikum wr wb kok halaman login nya ga da tulis ga nti akun
Nadin Dinda,5,peroses sangatlah mudh terimakasih,2026-02-28 06:34:06,peroses sangat mudh terimakasih
Panca Indra,5,nyaman aman,2026-02-28 06:31:22,nyaman aman
Riki Putraa,5,praktis dimana saja,2026-02-28 06:24:57,praktis saja
Icuz Fathi,5,"Alhamdulillah 🤲 .Dengan menggunakan Brimo kini lebih mudah.Terimakasih BRI, terimakasih BRImo....🙂✨️",2026-02-28 06:21:29,alhamdulillah guna brimo kini lebih mudahterimakasih bri terimakasih brimo
Siti Syaadah,5,wow banget pokonya,2026-02-28 06:18:55,wow banget poko
dhiemas andiko,5,sangat membantu,2026-02-28 06:18:33,sangat bantu
"Ali Imran, SE.",1,potong besar merugikan nasabah BRI,2026-02-28 06:17:17,potong besar rugi nasabah bri
Sinta Mega,3,"ga tau lagi mau gimana,masa harus hapus instal mulu karna ga bisa login",2026-02-28 06:16:23,ga tau mau gimanamasa hapus instal mulu karna ga login
Siti Makhfiroh,5,cepat dan mudah,2026-02-28 06:13:36,cepat mudah
Keddy Fadilah,5,good,2026-02-28 06:12:11,good
Raharta Bhuana,5,bagus sekali..mempermudah segala transaksi,2026-02-28 06:03:41,bagus sekalimempermudah segala transaksi
Herty Mahendra,4,"hallo kak mohon maaf, kenapa ya aplikasi brimo saya tidak bisa terbuka? saya sudah coba berapa kali tapi tetap tidak bisa.",2026-02-28 05:59:10,hallo kak mohon maaf ya aplikasi brimo buka sudah coba berapa kali tetap tidak bisa
adnan rayzan,5,mantep,2026-02-28 05:57:44,mantep
Nikson Jhonson Sinaga,5,mantap dan akuntabel,2026-02-28 05:56:53,mantap akuntabel
Saido. Gs.,5,Alhamdullillah dengan ada aplikasi Brimo semua jadi mudah.gak ribet.bayar ini itu cukup di genggaman tangan. terima kasih.,2026-02-28 05:54:01,alhamdullillah ada aplikasi brimo semua jadi mudahgak ribetbayar itu cukup genggam tangan terima kasih
Ira Irama,5,sangat membantu dan sangat bermanfaat untuk saya...,2026-02-28 05:53:40,sangat bantu sangat manfaat saya
Subur tba,5,sangat membantu sekali,2026-02-28 05:52:08,sangat bantu sekali
Triana anna,2,aplikasi tidak bisa di buka layar putih beruang kali walaupun udhdi perbaharui,2026-02-28 05:47:49,aplikasi bisa buka layar putih beruang kali walaupun udhdi baharu
Amar Nopriyadi,5,good,2026-02-28 05:45:39,good
Ihsan Ramadan,5,pemakaian 7 bukan masih aman🤗,2026-02-28 05:41:32,pakai bukan aman
Kiamu Madi,5,good,2026-02-28 05:41:11,good
Warnasa 22,5,baik,2026-02-28 05:35:58,baik
SILTER,2,"perkara tidak login 1 hari saja , berulah kembali .. ini sudah 3x yah selalu ngeblank , layar putih kosong saja gk ada tampilan birunya beranda login .. ini sudah 3x terjadi & saya haru uninstal lagi .. kamu kira ketika uninstl & instal kembali & login tuh tidak ribet kah ? jadi mempermainkan orang terus .. instal hapus ,instal hapus , begitu terus hanya karena perkara tidak login seharian . pelayanan kalian paling terburuk sudah .. sangat tidak puasss..#",2026-02-28 05:35:09,perkara login hari ulah x yah selalu ngeblank layar putih kosong gk tampil biru beranda login sudah x jadi haru uninstal kamu kira uninstl instal login tuh ribet jadi main orang terus instal hapus instal hapus terus karena perkara login hari layan kalian paling buruk sudah sangat puasss
Asniar Umi,5,Baik,2026-02-28 05:29:45,baik
Arya Syaputra,5,mantap gampang,2026-02-28 05:29:17,mantap gampang
rizky ardiyan,5,sgt membantu,2026-02-28 05:19:46,sgt bantu
Galih Yoga,5,aplikasi bagus.... tapi udah 3bulan terakir ini...ada kendala layar tiap buka aplikasi brimo layar warna biru terus ngeblang warna putih....udah restart..udah uninstal..udah hapus chace...udah hapus data....udah aktivasi lagi kembali ke layar putih lagi..tolong dibantu..saya juga udah minta tolong sabrina juga sama aja masih layar putih..udah kirim email pengaduan masih sama aj tampilan layar putih..tolong dong dibantu...,2026-02-28 05:18:48,aplikasi bagus udah bulan terakir iniada kendala layar tiap buka aplikasi brimo layar warna biru terus ngeblang warna putihudah restartudah uninstaludah hapus chaceudah hapus dataudah aktivasi kembali layar putih lagitolong dibantusaya udah minta sabrina sama aja layar putihudah kirim email adu sama aj tampil layar putihtolong dong bantu
anjar rohmulyono,5,"membantu,dan mudah digunakan",2026-02-28 05:13:35,membantudan mudah guna
Ulung Ham,1,tidak bisa di buka,2026-02-28 05:07:22,bisa buka
Sakti Parerengi,5,bagus,2026-02-28 05:07:05,bagus
Nazir Yakkub,5,"Brimo emang memudahkan urusan keuangan, mataap",2026-02-28 05:03:50,brimo emang mudah urus uang mataap
Wachid Abraham,5,sangat membntu,2026-02-28 05:01:50,sangat membntu
Deny Rohim,2,g bisa login lg,2026-02-28 04:55:03,g login lg
Lisa Kristiana,5,mantap,2026-02-28 04:54:59,mantap
Jarno Keling,5,mantap sih,2026-02-28 04:53:52,mantap sih
Maroef Sontrol,5,mantap,2026-02-28 04:45:04,mantap
Ujang Rahmat,5,mantap.keamanannya makin ketat.sipp,2026-02-28 04:32:10,mantapkeamanannya makin ketatsipp
Maryam Khoirunnisa Haq,5,sangat membantu,2026-02-28 04:31:20,sangat bantu
Muhammad faisal,5,mantap,2026-02-28 04:29:12,mantap
Erwin,5,ok,2026-02-28 04:22:06,
Hendra Maks,5,saya menyukainya karna mempermudah dalam melakukan transaksi,2026-02-28 04:18:09,suka karna mudah laku transaksi
Joko Wilastiyo,5,mantab,2026-02-28 04:13:19,mantab
Muhammad Fadkhan,5,brimo eror,2026-02-28 04:03:22,brimo eror
Maryadi Cepex,4,bagus,2026-02-28 04:01:44,bagus
Ameena Cantik,5,good job,2026-02-28 04:01:09,good job
Marsel Paath,5,trimaksih aplikasinya sangat menolong,2026-02-28 04:00:32,trimaksih aplikasi sangat tolong
Maesha,5,daftar e banking di brimo ko gagal terus kenapa yah?,2026-02-28 03:59:52,daftar e banking brimo ko gagal terus yah
Margo Mulyo,5,bagus sangat membantu dan mudah untuk bertransaksi,2026-02-28 03:58:15,bagus sangat bantu mudah transaksi
Shunar Pv,5,sangat baik & sangat bermanfaat.,2026-02-28 03:57:30,sangat baik sangat manfaat
Asmika Arief Asmika,5,"Aplikasi Versi barunya sekarang kok suka layar putih polos yah, sudah di upgrade dan sudah di unistal dan Instal kembali awalnya bagus eh lama kelamaan mau masuk kembali kok layar putih lagi yah",2026-02-28 03:49:28,aplikasi versi baru sekarang kok suka layar putih polos yah upgrade sudah di unistal instal awal bagus eh lama lama mau masuk kok layar putih yah
Muhamad Ali Imron,5,bagus banget dan sangat membantu dalam transaksi,2026-02-28 03:47:38,bagus banget sangat bantu transaksi
Mambo Stable,5,sangat membantu,2026-02-28 03:40:51,sangat bantu
Badai Berlalu,2,"susah untuk verifikasi wajah untuk ibu saya yang sudah lansia 75th, sudah tidak bisa berjalan sudah sangat tidak memungkinkan utk datang ke KC",2026-02-28 03:40:15,susah verifikasi wajah ibu yang lansia th jalan sangat tidak mungkin utk datang kc
Abdul Mujib,5,bagus,2026-02-28 03:17:39,bagus
Freddy Rajagukguk,5,ok,2026-02-28 02:55:34,
Arie Ashari,5,Sangat bagus,2026-02-28 02:37:47,sangat bagus
Riann.,5,CEPAT CEPAT,2026-02-28 02:17:20,cepat cepat
Ary Mapalulo,5,ok lah,2026-02-28 02:15:31,lah
Ahmad Imronudin,2,ferifikasi wajah selalu gagal sudah konfirmasi bank tetep sama kenapa bisa terjadi?mohon dibantu,2026-02-28 01:43:06,ferifikasi wajah selalu gagal konfirmasi bank tetep sama bisa terjadimohon bantu
yala setiawan,5,baik,2026-02-28 01:41:16,baik
Iwan Payment,5,mantap,2026-02-28 01:26:34,mantap
Aditia Putra,5,mantul,2026-02-28 01:26:17,mantul
Putu Sintia,5,mantap,2026-02-28 01:18:56,mantap
Adhi CungeL,5,nice,2026-02-28 01:18:07,nice
Babe Humene,5,cepat dan mudah,2026-02-28 01:13:22,cepat mudah
Imam Firdaus,5,ok,2026-02-28 01:11:40,
Ahmad Fikri,5,selama saya pake bri asli merasa terbantu sekali dan keamanan bagus,2026-02-28 01:02:35,lama pake bri asli rasa bantu sekali aman bagus
Abdul Rawi,5,ok mantap,2026-02-28 00:59:42,mantap
Hall Light,1,app cacat devnya kurang op,2026-02-28 00:57:15,app cacat devnya kurang op
Bob Marlin,5,sangat membantu,2026-02-28 00:55:00,sangat bantu
Alesha Eryfi,5,"puas,asal ada signal.",2026-02-28 00:29:09,puasasal signal
Putri Yani,5,Oke,2026-02-28 00:27:54,oke
Deni Chandra,5,ok,2026-02-28 00:24:45,
Misnan Sunandi,4,baik,2026-02-28 00:21:03,baik
Indah Permadani,5,"sering eror, kenapa?",2026-02-28 00:13:09,sering eror
Jar ot,3,sangat sering maintenance apa lagi pas malem waktu orang2 ngisi mau tupup malah gak bisa buat transaksi,2026-02-28 00:10:06,sangat sering maintenance apa pas malem waktu orang ngisi mau tupup malah gak buat transaksi
Yuwono Bagus,4,alhamdulillah bagus dan cepat sangat efisien,2026-02-28 00:09:06,alhamdulillah bagus cepat sangat efisien
Siti Maesah,1,"tidak direkomendasikan,,,, sering ganguan. /maintenace",2026-02-28 00:00:01,rekomendasi sering ganguan maintenace
chan ziz,5,"Aneh bener, ketika masuk manual menggunakan email, tanda titik tidak bisa/alias tidak terketik di box username, susah lah kalo begitu, terus apa solusinya dong???",2026-02-27 23:57:43,aneh bener masuk manual guna email tanda titik bisaalias ketik box username susah lah kalo terus apa solusi dong
Amar,5,senang bisa ada brimo,2026-02-27 23:52:29,senang ada brimo
Sugi Anto,4,cepat tepat dn yerpercayah,2026-02-27 23:48:31,cepat tepat dn yerpercayah
Anggraini Fidianty,1,ganti hp..setiap login masukin foto KTP terus.. sudah hapus cache masih aja sama..aneh,2026-02-27 23:29:32,ganti hpsetiap login masukin foto ktp terus hapus cache aja samaaneh
Ira wati,5,terbaik,2026-02-27 23:26:55,baik
Aa Iki,3,ribet mau masuk akun brimo ko susah ya salah mulu padahal udah aku catet di buku agar gk salah dan gk lupa tetep aja gk bisa masuk susah ribet banget,2026-02-27 23:25:10,ribet mau masuk akun brimo ko susah salah mulu padahal udah aku catet buku gk salah gk lupa tetep aja gk masuk susah ribet banget
Pipit Novia,2,banyak potongan yang ga jelas,2026-02-27 23:23:58,banyak potong ga jelas
Yofih Hakekiah,3,kanapa brimo pas transfer blenk putih gak bisa transfer,2026-02-27 23:15:57,kanapa brimo pas transfer blenk putih gak transfer
Dul argo Dul,1,knapa tdak bisa di buka beberapa hari ini,2026-02-27 23:15:54,knapa tdak di buka beberapa hari
ridho alvin tambunan,5,mantap,2026-02-27 23:13:37,mantap
uwidpordjo,5,"lancar jaya,tapi mbok ya dikasih hadiah tiap transaksi.cashback misalnya, biar kaum kebawah menikmati manfaatnya. Terima kasih",2026-02-27 23:08:55,lancar jayatapi mbok kasih hadiah tiap transaksicashback misal biar kaum bawah nikmat manfaat terima kasih
ikbal Ikbal,1,kenapa setiap saya bukan aplikasi nya GK bisa2 layar biru langsung berubah putih dan kembali ke awal lagi.. sudah 2 hari ini..bikin saya bingung mengunakan aplikasi nya..jadi ribet bgt.kirain GK ada sinyal apa lagi eror ternyata baca ulasan semua begitu tolong min diperbaiki lagi apa apk nya biar enak..,2026-02-27 23:06:56,tiap bukan aplikasi nya gk layar biru langsung ubah putih kembali awal sudah hari inibikin bingung mengunakan aplikasi nyajadi ribet bgtkirain gk sinyal apa eror nyata baca ulas semua tolong min baik apa apk nya biar enak
m sunarya,5,saat ini masih bagus,2026-02-27 23:06:38,ini bagus
Dian Hendriyanto,5,sangat baik,2026-02-27 22:56:12,sangat baik
Husnul Hertanti,5,"tolong dong brimo kenapa setiap mau transfer ke dana selalu tidak bisa, awal nya bisa tapi 2 minggu kemudian di saat mau transfer ke dana lagi selalu ada gangguan kata nya metode transfer tidak tersedia pada saat ini tolong dong brimo di perbaiki lagi, dulu awal memakai brimo tidak seperti itu dan ya untuk admin penarikan memakai kartunya sekarang malah semakin naik 🫠",2026-02-27 22:55:33,dong brimo tiap mau transfer dana selalu awal nya bisa tapi minggu kemudian saat mau transfer dana selalu ganggu kata nya metode transfer sedia saat tolong dong brimo baik dulu awal pakai brimo seperti dan untuk admin tari pakai kartu sekarang malah makin naik
Irham Udin,5,jos,2026-02-27 22:53:57,jos
Rafka Radita,5,proses cepat,2026-02-27 22:53:54,proses cepat
Ahmad Jocker,5,👍👍,2026-02-27 22:51:19,
Sandy Xyzz,2,mau bayar tring pegadaian melalui briva gagal selalu,2026-02-27 22:26:51,mau bayar tring gadai lalu briva gagal selalu
Melson Frid,5,Sangat memudahkan,2026-02-27 22:22:33,sangat mudah
sayunk putra,2,"sampai kapan ini BRImo for close terus?? di update gak tambah bagus, malah tambah gak bisah masuk...",2026-02-27 22:21:23,kapan brimo for close terus update gak tambah bagus malah tambah gak bisah masuk
Rezi Putra,5,cepat,2026-02-27 22:19:12,cepat
Iyul Sumiati,5,saya perdana menggunakan BRImo dan alhamdulillah cepet.,2026-02-27 22:17:35,perdana guna brimo alhamdulillah cepet
Andryr7 r7,5,cucok dg diriku,2026-02-27 22:11:33,cucok dg diri
SAMUJI KURIK,5,sangat membantu.,2026-02-27 22:10:12,sangat bantu
Haris,5,sangat membantu dan efisien,2026-02-27 22:06:35,sangat bantu efisien
dukut koclok,1,pake aplikasi ini gak akurat udah bner PW tp gak bisa login PW pmulihan udah bner tp tetep gak bisa jdi harus ke kantor BRi bedah jauh sama LIVIN klo semisal gak bisa bersaing sama yg lain gak usah bikin apk ini,2026-02-27 22:05:29,pake aplikasi gak akurat udah bner pw tp gak login pw pmulihan udah bner tp tetep gak jdi ke kantor bri bedah jauh sama livin klo misal gak saing sama yg gak usah bikin apk
Betik Tik,5,mau login gak bisa ya,2026-02-27 22:04:24,mau login gak ya
Deby Wahyu,5,mantap,2026-02-27 22:04:05,mantap
Aku Gue,5,apk hebat,2026-02-27 22:01:28,apk hebat
Meka Afandi,5,bagus,2026-02-27 22:00:43,bagus
Jayeng Mustiko,4,bagus,2026-02-27 21:58:24,bagus
Santi Adza,5,"senang sekali pakai BRImo cepat & mudah buat transaksi apa aj,,, trimakasih BRImo 👍👍👍🥰🥰🙏🙏",2026-02-27 21:46:37,senang sekali pakai brimo cepat mudah buat transaksi apa aj trimakasih brimo
